IdProducto;DescripcionLarga;Clase ;Talla ;Color ;PrecioCosto;PrecioPublico1;Fracción ;Fab/Marca;IdProducto2;Cod Color; Vigencia Inicial;Grupo Destino
11790;PACHA PARA CELULAR HUAWEI Y6 2019;;;;110000;190000;;;11790;;;______________________
11823;PACHA PARA CELULAR HUAWEI Y7P;;;;135000;195000;;;11823;;;______________________
11547;PACHA PARA CELULAR LG G2;;;;238000;300000;;;11547;;;______________________
10816;PACHA PARA CELULAR MARCA ALCATEL  IDOL MINI 2;;;;119000;140000;;;10816;;;______________________
10807;PACHA PARA CELULAR MARCA ALCATEL  PIXXI 3 4023;;;;95200;130000;;;10807;;;______________________
10860;PACHA PARA CELULAR MARCA AZUMI A50C;;;;119000;160000;;;10860;;;______________________
10864;PACHA PARA CELULAR MARCA AZUMI A50C+;;;;119000;140000;;;10864;;;______________________
11210;PACHA PARA CELULAR MARCA HUAWEI GR5;;;;86870;160000;;;11210;;;______________________
11725;PACHA PARA CELULAR MARCA HUAWEI MATE 20 LITE;;;;115000;195000;;;11725;;;______________________
11698;PACHA PARA CELULAR MARCA HUAWEI P SMART 2019;;;;150000;200000;;;11698;;;______________________
11709;PACHA PARA CELULAR MARCA HUAWEI P9 LITE SMARTH;;;;95000;170000;;;11709;;;______________________
11206;PACHA PARA CELULAR MARCA HUAWEI Y7 2018;;;;70000;160000;;;11206;;;______________________
11729;PACHA PARA CELULAR MARCA HUAWEI Y9 2019;;;;190000;250000;;;11729;;;______________________
10841;PACHA PARA CELULAR MARCA MOTOROLA  MOTO G1;;;;119000;140000;;;10841;;;______________________
10842;PACHA PARA CELULAR MARCA MOTOROLA MOTO G2;;;;90000;140000;;;10842;;;______________________
10930;PACHA PARA CELULAR MARCA SONY Z3;;;;142800;180000;;;10930;;;______________________
11744;PACHA PARA CELULAR MOTO G4;;;;90000;180000;;;11744;;;______________________
11797;PACHA PARA CELULAR MOTOROLA G6 PLAY;;;;100000;160000;;;11797;;;______________________
11809;PACHA PARA CELULAR MOTOROLA G7 POWER;;;;120000;180000;;;11809;;;______________________
11613;PACHA PARA CELULAR MOTOROLA MOTO E5;;;;100000;190000;;;11613;;;______________________
10929;PACHA PARA CELULAR MOTOROLA MOTO G3;;;;119000;140000;;;10929;;;______________________
11834;PACHA PARA CELULAR SAMSUNG J2;;;;70000;150000;;;11834;;;______________________
10869;PACHA PARA CELULAR SAMSUNG J5 2015 NORMAL;;;;95000;150000;;;10869;;;______________________
11795;PACHA PARA CELULAR SAMSUNG J5 PRO;;;;75000;160000;;;11795;;;______________________
10928;PACHA PARA CELULAR SONY EXPERIA L;;;;119000;140000;;;10928;;;______________________
11950;PACHA PARA HUAWEI G7 PLAY;;;;160000;210000;;;11950;;;______________________
11606;PACHA PARA HUAWEI P SMART;;;;107100;180000;;;11606;;;______________________
11212;PACHA PARA HUAWEI Y5 2017;;;;83300;150000;;;11212;;;______________________
11270;PACHA PARA HUAWEI Y6 II;;;;70000;140000;;;11270;;;______________________
11870;PACHA PARA HUAWEI Y9 PRIME 2019;;;;90000;172000;;;11870;;;______________________
11302;PACHA PARA IPHONE 5S y 5C;;;;83300;120000;;;11302;;;______________________
11208;PACHA PARA IPHONE 6S Y 6G S;;;;80000;130000;;;11208;;;______________________
11550;PACHA PARA LG K10;;;;154700;190000;;;11550;;;______________________
11879;PACHA PARA SAMSUNG A30;;;;190000;250000;;;11879;;;______________________
11830;PACHA PARA SAMSUNG J4;;;;100000;150000;;;11830;;;______________________
11796;PACHA PARA SAMSUNG J5 PRO ORIGINAL;;;;140000;220000;;;11796;;;______________________
11877;PACHA REDMI 9T;;;;140000;200000;;;11877;;;______________________
11666;PACHA REDMI NOTE 11;;;;90000;172000;;;11666;;;______________________
11999;PACHA SAM A34;;;;95200;172000;;;11999;;;______________________
11876;PACHA SAMSUNG A 20;;;;187000;280000;;;11876;;;______________________
10867;PACHA SAMSUNG A01 CORE Y A01;;;;142800;180000;;;10867;;;______________________
10859;PACHA SAMSUNG A02S Y A02;;;;190000;250000;;;10859;;;______________________
11980;PACHA SAMSUNG A20S AAA;;;;140000;200000;;;11980;;;______________________
11900;PACHA SAMSUNG A31;;;;170000;230000;;;11900;;;______________________
11995;PACHA SAMSUNG A32 4G;;;;155000;215000;;;11995;;;______________________
11442;PACHA SAMSUNG J1 2016  Y J1 ACE;;;;142800;150000;;;11442;;;______________________
11866;PACHA SAMSUNG J3;;;;80000;160000;;;11866;;;______________________
11332;PACHA SAMSUNG J7 PRIMEY J7 NORMAL;;;;95000;150000;;;11332;;;______________________
10734;PACHA SONY XPERIA L1 C3313;;;;166600;200000;;;10734;;;______________________
10902;PARLANTE  PARA CELULAR MARCA SAMSUNG 7580;;;;2380;3000;;;10902;;;______________________
10924;PARLANTE AURICULAR TIPO NOKIA 520;;;;2380;3000;;;10924;;;______________________
10921;PARLANTE MEDIANO PARA BLACKBERRY 9320 REDONDO;;;;2380;3000;;;10921;;;______________________
10927;PARLANTE PARA CELULAR CHINO;;;;5950;10000;;;10927;;;______________________
10920;PARLANTE TIPO NOKIA AURICULAR CUADRADO PEQUEÑO;;;;2380;3000;;;10920;;;______________________
10915;PARLANTE UNIVERSAL MEDIANO CUADRADO SIN CABLE;;;;2000;3000;;;10915;;;______________________
10919;PARLANTE UNIVERSAL MEDIANO EN FORMA DE OVALO  CON CABLE;;;;2380;3000;;;10919;;;______________________
10917;PARLANTE UNIVERSAL MEDIANO REDONDO  SIN BABLE;;;;2380;3000;;;10917;;;______________________
10918;PARLANTE UNIVERSAL PEQ RECTANGULAR CON CABLE Y SIN CABLE;;;;2000;3000;;;10918;;;______________________
10914;PARLANTE UNIVERSAL REDONDO PEQUEÑO CON CABLE;;;;2380;3000;;;10914;;;______________________
10916;PARLANTE UNIVERSAL REDONDO TIPO NOKIA GRANDE;;;;5000;9000;;;10916;;;______________________
11198;PIN DE CARGA HUAWEI MOTOROLA Y OTROS;;;;5000;30000;;;11198;;;______________________
11726;PIN DE CARGA PARA BLACKBERRY 9320;;;;3000;10000;;;11726;;;______________________
11661;PIN DE CARGA PARA BLACKBERRY 9900;;;;5000;15000;;;11661;;;______________________
10936;PIN DE CARGA PARA CELULAR  NOKIA 625;;;;5000;15000;;;10936;;;______________________
10932;PIN DE CARGA PARA CELULAR MARCA BLACKBERRY 8520;;;;3000;10000;;;10932;;;______________________
10907;PIN DE CARGA PARA CELULAR MARCA MOTOROLA MOTO G2;;;;3570;25000;;;10907;;;______________________
10899;PIN DE CARGA PARA CELULAR MARCA SAMSUNG F250;;;;3570;15000;;;10899;;;______________________
10898;PIN DE CARGA PARA CELULAR MARCA SAMSUNG GRAND NEO 9080;;;;3000;25000;;;10898;;;______________________
11226;PIN DE CARGA PARA CELULAR MARCA SAMSUNG J5 PRIME;;;;3000;5000;;;11226;;;______________________
10901;PIN DE CARGA PARA CELULAR MARCA SAMSUNG S3;;;;5950;25000;;;10901;;;______________________
10904;PIN DE CARGA PARA CELULAR MARCA SAMSUNG S5;;;;5950;30000;;;10904;;;______________________
10900;PIN DE CARGA PARA CELULAR SAMSUNG GRAND PRIME Y J7;;;;3000;5000;;;10900;;;______________________
10926;PIN DE CARGA PARA MOTOROLA MOTO G;;;;5950;20000;;;10926;;;______________________
